NOMBRE O DESCRIPCION;ASIENTO;ALOJAMIENTO
6303/2Z/C3 FAG;Ø INT  17;Ø EXT  47
6305/2Z/C3      FAG;Ø INT 25;Ø EXT 62
6305/2Z/C3      SKF;Ø INT 25;Ø EXT 62
6315/2RS/C3 FAG;Ø INT 75;Ø EXT 160
16010 NTN;Ø INT 50;Ø EXT 80
16011 NTN;Ø INT 55;Ø EXT 90
3202 A2RSR1TN9/MT33 SKF;Ø INT 15;Ø EXT 35
3202 /BD/TVH/L285 FAG;Ø INT 15;Ø EXT 35
3203 A-2RS1TN9/MT33 SKF;Ø INT 17;Ø EXT 40
3205/A2RSTNG ZKL;Ø INT 25;Ø EXT 52
3206 2RSR TVH  FAG;Ø INT 30;Ø EXT 62
3304/B2RSR/TVH FAG;Ø INT 20;Ø EXT 52
3305 AZZTN9 SKF;Ø INT 25;Ø EXT 62
3305 BD-2HRS  FAG;Ø INT 25;Ø EXT 62
3305 -BD-2Z-TVH  FAG;Ø INT 25;Ø EXT 62
3305/2RS SKF;Ø INT 25;Ø EXT 62
3305/2RSR FAG;Ø INT 25;Ø EXT 62
3305/2RSR/C3  FAG;Ø INT 25;Ø EXT 62
3305/2Z/C3 SKF;Ø INT 25;Ø EXT 62
3305/BD2RSTVH/C3 FAG;Ø INT 25;Ø EXT 62
3305/BD2ZTVH FAG;Ø INT 25;Ø EXT 62
3305ATN9/C3   SKF;Ø INT 25;Ø EXT 62
51111  SKF;Ø INT 55;Ø EXT 78
51112  FAG;Ø INT 60;Ø EXT 85
51112  SKF;Ø INT 60;Ø EXT 85
51112 NTN;Ø INT 60;Ø EXT 85
51113  SKF;Ø INT 65;Ø EXT 90
51113 FAG;Ø INT 65;Ø EXT 90
51113 NTN;Ø INT 65;Ø EXT 90
6000/2RS/C3  SKF;Ø INT 10;Ø EXT 26
6000/2Z/C3 SKF;Ø INT 10;Ø EXT 26
6001/2RS/C3  FAG;Ø INT 12;Ø EXT 28
6001/2RS/C3  NTN;Ø INT 12;Ø EXT 28
6001/2RS/C3 SKF;Ø INT 12;Ø EXT 28
6001/2Z/C3    FAG;Ø INT 12;Ø EXT 28
6001/2Z/C3  SKF;Ø INT 12;Ø EXT 28
6002/2RS/C3   FAG;Ø INT 15;Ø EXT 32
6002/2RS/C3 SKF;Ø INT 15;Ø EXT 32
6002/2Z/C3  SKF;Ø INT 15;Ø EXT 32
6002/2Z/C3 (FAG);Ø INT 15;Ø EXT 32
6003/2RS/C3       SKF;Ø INT 17;Ø EXT 35
6003/2RSR FAG;Ø INT 17;Ø EXT 35
6003/2RSR/C3  FAG;Ø INT 17;Ø EXT 35
6003/2Z/C3      FAG;Ø INT 17;Ø EXT 35
6003/2Z/C3  SKF;Ø INT 17;Ø EXT 35
6004/2RS/C3  FAG;Ø INT 20;Ø EXT 42
6004/2Z/C3  FAG;Ø INT 20;Ø EXT 42
6004/2Z/C3  SKF;Ø INT 20;Ø EXT 42
6004/2ZR/C3;Ø INT 20;Ø EXT 42
6004-2RSH/C3   SKF;Ø INT 20;Ø EXT 42
6005/2RS/C3 FAG;Ø INT 25;Ø EXT 47
6005/2RS/C3 SKF;Ø INT 25;Ø EXT 47
6005/2Z/C3  FAG;Ø INT 25;Ø EXT 47
6005/2Z/C3 SKF;Ø INT 25;Ø EXT 47
6006/2RS/C3 SKF;Ø INT 30;Ø EXT 55
6006/2RSR/C3  FAG;Ø INT 30;Ø EXT 55
6006/2Z/C3   FAG;Ø INT 30;Ø EXT 55
6006/2Z/C3 SKF;Ø INT 30;Ø EXT 55
6007 LLU/C3 NTN;Ø INT 35;Ø EXT 62
6007/2RS/C3 SKF;Ø INT 35;Ø EXT 62
6007/2RSR/C3 SKF;Ø INT 35;Ø EXT 62
6007/2Z/C3  FAG;Ø INT 35;Ø EXT 62
6007/2Z/C3  SKF;Ø INT 35;Ø EXT 62
6008/2Z/C3    SKF;Ø INT 40;Ø EXT 68
6008/2Z/C3 FAG;Ø INT 40;Ø EXT 68
6009/2RS/C3  FAG;Ø INT 45;Ø EXT 75
6009/2RS/C3  SKF;Ø INT 45;Ø EXT 75
6009/2Z/C3  FAG;Ø INT 45;Ø EXT 75
6009/2Z/C3 SKF;Ø INT 45;Ø EXT 75
6010/2RS/C3 SKF;Ø INT 50;Ø EXT 80
6010/2RSR/C3  NTN;Ø INT 50;Ø EXT 80
6011/2RS/C3 FAG;Ø INT 55;Ø EXT 90
6011/2RS/C3 SKF;Ø INT 55;Ø EXT 90
6012/2RS/C3 SKF;Ø INT 60;Ø EXT 95
6012/2Z/C3 SKF;Ø INT 60;Ø EXT 95
607/2RS/C3 SKF;Ø INT  7;Ø EXT 19
608 2Z/C3  SKF;Ø INT 8;Ø EXT 22
608/2RS/C3 SKF;Ø INT  8;Ø EXT 22
608/2RSR/C3 (SKF);Ø INT 8;Ø EXT 22
608/2SRSR/C3  FAG;Ø INT 8;Ø EXT 22
608/2Z/C3        SKF;Ø INT 8;Ø EXT 22
608/2Z/C3 FAG;Ø INT 8;Ø EXT 22
6200/2RS/C3  SKF;Ø INT 10;Ø EXT 30
6200/2RS/C3 FAG;Ø INT 10;Ø EXT 30
6200/2Z/C3  FAG;Ø INT 10;Ø EXT 30
6200/2Z/C3 SKF;Ø INT 10;Ø EXT 30
6201 LLU/12.7 C3/2AS  NTN;Ø INT 12;Ø EXT 32
6201/2RS/C3 SKF;Ø INT 12;Ø EXT 32
6201/2RSR/C3  FAG;Ø INT 12;Ø EXT 32
"6201/2RSR/C3 (1/2"") PFI";Ø INT 12;Ø EXT 32
6201/2Z/12.7/5C NTN;Ø INT 12;Ø EXT 32
6201/2Z/C3   FAG;Ø INT 12;Ø EXT 32
6202/2RS/C3 FAG;Ø INT 15;Ø EXT 35
6202/2RS/C3 NTN;Ø INT 15;Ø EXT 35
6202/2RS/C3 PFI(1/2);Ø INT 15;Ø EXT 35
6202/2RS/C3 SKF;Ø INT  15;Ø EXT  35
6202/2Z/C3  FAG;Ø INT 15;Ø EXT 35
6203/2RS/C3 FAG;Ø INT 17;Ø EXT 40
6203/2RS/C3 NTN;Ø INT 17;Ø EXT 40
6203/2RS/C3 SKF;Ø INT 17;Ø EXT 40
6203/2Z/C3 FAG;Ø INT 17;Ø EXT 40
6203/2Z/C3 NTN;Ø INT 17;Ø EXT 40
6203/2Z/C3 SKF;Ø INT 17;Ø EXT 40
6204 2RS/C3 SKF;Ø INT 20;Ø EXT 47
6204/2RS/C3  FAG;Ø INT 20;Ø EXT 47
6204/2RS/C3 SKF;Ø INT  20;Ø EXT 47
6204/2RSR/C3     SK;Ø INT 20;Ø EXT 47
6204/2RSR/C3  NTN;Ø INT 20;Ø EXT 47
6204/2Z/C3     SKF;Ø INT 20;Ø EXT 47
6204/2Z/C3  FAG;Ø INT 20;Ø EXT 47
6204/2Z/C3  NTN;Ø INT 20;Ø EXT 47
6204-2Z/C3 SKF;Ø INT 20;Ø EXT 47
6205/2RS/C3 FAG;Ø INT 25;Ø EXT 52
6205/2RS/C3 NTN;Ø INT  25;Ø EXT  52
6205/2RS/C3 SKF;Ø INT 25;Ø EXT 52
6205/2Z/C3 FAG;Ø INT 25;Ø EXT 52
6205/2Z/C3 NTN;Ø INT 25;Ø EXT 52
6205/2Z/C3 SKF;Ø INT 25;Ø EXT 52
6205/C3 SKF;Ø INT 25;Ø EXT 52
6206 SKF;Ø INT 30;Ø EXT 62
6206/2RS;Ø INT 30;Ø EXT 62
6206/2RS FAG;Ø INT 30;Ø EXT 62
6206/2RS NTN;Ø INT 30;Ø EXT 62
6206/2RS/C3 FAG;Ø INT 30;Ø EXT 62
6206/2Z SKF;Ø INT 30;Ø EXT 62
6206/2Z/C3 FAG;Ø INT 30;Ø EXT 62
6206/2Z/C3 SKF;Ø INT 30;Ø EXT 62
6207/2RS/C3 FAG;Ø INT 35;Ø EXT 72
6207/2RS/C3 NTN;Ø INT 35;Ø EXT 72
6207/2RS/C3 SKF;Ø INT 35;Ø EXT  72
6207/2RS/C3 TIM;Ø INT 35;Ø EXT 72
6207/2Z/C3 FAG;Ø INT 35;Ø EXT 72
6207/2Z/C3 SKF;Ø INT 35;Ø EXT 72
6208/2RS/C3 SKF;Ø INT 40;Ø EXT 80
6208/2Z/C3 FAG;Ø INT 40;Ø EXT 80
6208/2Z/C3 SKF;Ø INT 40;Ø EXT 80
6209/2RS/C3 FAG;Ø INT 45;Ø EXT 85
6209/2RS/C3 SKF;Ø INT 45;Ø EXT 85
6209/2Z/C3 FAG;Ø INT 45;Ø EXT 85
6209/2Z/C3 SKF;Ø INT 45;Ø EXT 85
6209/2Z/C3 TIM;Ø INT 45;Ø EXT 85
6210/2RS/C3 FAG;Ø INT 50;Ø EXT 90
6210/2RS/C3 SKF;Ø INT 50;Ø EXT 90
6210/2Z/C3 FAG;Ø INT 50;Ø EXT 90
6210/2Z/C3 SKF;Ø INT 50;Ø EXT 90
6211/2Z/C3  FAG;Ø INT 55;Ø EXT 100
6211/2Z/C3 SKF;Ø INT 55;Ø EXT 100
6211/C3 FAG;Ø INT 55;Ø EXT 100
6211/C3 SKF;Ø INT 55;Ø EXT 100
6212/2RS/C3 NTN;Ø INT 60;Ø EXT 110
6212/2RS/C3 SKF;Ø INT 60;Ø EXT 110
6212/2Z/C3 FAG;Ø INT 60;Ø EXT 110
6212/2Z/C3 NTN;Ø INT 60;Ø EXT 110
6212/2Z/C3 SKF;Ø INT 60;Ø EXT 110
6212/C3 SKF);Ø INT 60;Ø EXT 110
6212/C4   SKF;Ø INT 60;Ø EXT 110
6213/2RS/C3 FAG;Ø INT 65;Ø EXT 120
6213/2RS/C3 NTN;Ø INT 65;Ø EXT 120
6213/2RS/C3 SKF;Ø INT 65;Ø EXT 120
6213/2Z/C3 FAG;Ø INT 65;Ø EXT 120
6213/2Z/C3 NTN;Ø INT 65;Ø EXT 120
6213/2Z/C3 SKF;Ø INT 65;Ø EXT 120
6213/C3 SKF;Ø INT 65;Ø EXT 120
6213/C4 FAG;Ø INT 65;Ø EXT 120
6214/2RS/C3 SKF;Ø INT 70;Ø EXT 125
6214/2Z/C3 SKF;Ø INT 70;Ø EXT 125
6214/ZR/C3  FAG;Ø INT 70;Ø EXT 125
6215/2RS/C3 FAG;Ø INT 75;Ø EXT 130
6215/2RS/C3 SKF;Ø INT 75;Ø EXT 130
6215/2Z/C3 FAG;Ø INT 75;Ø EXT 130
6215/2Z/C3 SKF;Ø INT 75;Ø EXT 130
6215/C3 FAG;Ø INT 75;Ø EXT 130
6215/C3 SKF;Ø INT 75;Ø EXT 130
6216/2Z/C3 FAG;Ø INT 80;Ø EXT 140
6216/2Z/C3 SKF;Ø INT 80;Ø EXT 140
6217/2RS/C3 SKF;Ø INT 85;Ø EXT 150
6217/2Z/C3  FAG;Ø INT 85;Ø EXT 150
6217/2Z/C3 SKF;Ø INT 85;Ø EXT 150
6220/2Z/C3 FAG;Ø INT 100;Ø EXT 180
6220/2Z/C3 SKF;Ø INT 100;Ø EXT 180
6222/2Z/C3 FAG;Ø INT  110;Ø EXT  200
6222/2Z/C3 SKF;Ø INT 110;Ø EXT 200
6226/C3  FAG;Ø INT 130;Ø EXT 230
6226/C3  NTN;Ø INT 130;Ø EXT 230
6226/C3 SKF;Ø INT 130;Ø EXT 230
6300/2Z/C3       SKF;Ø INT 10;Ø EXT 35
6300/2Z/C3  FAG;Ø INT 10;Ø EXT 35
6301/2RSH/C3  SKF;Ø INT 12;Ø EXT 37
6301/2RSR/C3 FAG;Ø INT 12;Ø EXT 37
6301/2Z/C3     SKF;Ø INT 12;Ø EXT 37
6301/2Z/C3 FAG;Ø INT 12;Ø EXT 37
6302 2RSH/C3  SKF;Ø INT 15;Ø EXT 42
6302/2RS/C3     FAG;Ø INT 15;Ø EXT 42
6302/2Z/C3 FAG;Ø INT 15;Ø EXT 42
6302/2Z/C3 SKF;Ø INT 15;Ø EXT 42
6303/2RS/C3  SKF;Ø INT 17;Ø EXT 47
6303/2RS/C3 FAG;Ø INT 17;Ø EXT 47
6303/2RS/C3 NTN;Ø INT 17;Ø EXT 47
6304/2RS/C3 SKF;Ø INT 20;Ø EXT 52
6304/2RSH/C3 FAG;Ø INT 20;Ø EXT 52
6304/2Z/C3  FAG;Ø INT 20;Ø EXT 52
6304/2Z/C3 SKF;Ø INT 20;Ø EXT 52
6305/2RS/C3 FAG;Ø INT 25;Ø EXT 62
6305/2RS/C3 SKF;Ø INT 25;Ø EXT 62
6305/2Z/C3  FAG;Ø INT 25;Ø EXT 62
6305/2Z/C3  SKF;Ø INT 25;Ø EXT 62
6306/2RS/C3 FAG;Ø INT 30;Ø EXT 72
6306/2RS/C3 SKF;Ø INT 30;Ø EXT   72
6306/2Z/C3 FAG;Ø INT 30;Ø EXT 72
6306/2ZC3 SKF;Ø INT 30;Ø EXT 72
6307/2RS/C3 FAG;Ø INT 35;Ø EXT 80
6307/2RS/C3 NTN;Ø INT 35;Ø EXT 80
6307/2RS/C3 SKF;Ø INT 35;Ø EXT 80
6307/2Z/C3 FAG;Ø INT 35;Ø EXT 80
6307/2Z/C3 NTN;Ø INT 35;Ø EXT 80
6307/2Z/C3 SKF;Ø INT  35;Ø EXT  80
6308/2RS/C3 FAG;Ø INT 40;Ø EXT 90
6308/2RS/C3 SKF;Ø INT 40;Ø EXT 90
6308/2Z/C3 FAG;Ø INT 40;Ø EXT 90
6308/2Z/C3 SKF;Ø INT 40;Ø EXT 90
6309/2RS/C3 FAG;Ø INT 45;Ø EXT 100
6309/2RS/C3 NTN;Ø INT 45;Ø EXT 100
6309/2RS/C3 SKF;Ø INT  45;Ø EXT  100
6309/2Z/C3 FAG;Ø INT 45;Ø EXT 100
6309/2Z/C3 NTN;Ø INT 45;Ø EXT 100
6309/2Z/C3 SKF;Ø INT  45;Ø EXT  100
6310/2RS/C3 FAG;Ø INT 50;Ø EXT 110
6310/2RS/C3 SKF;Ø INT  50;Ø EXT  110
6310/2Z/C3 FAG;Ø INT 50;Ø EXT 110
6310/2Z/C3 NTN;Ø INT 50;Ø EXT 110
6310/2Z/C3 SKF;Ø INT 50;Ø EXT 110
6311/2RS/C3 FAG;Ø INT 55;Ø EXT 120
6311/2RS/C3 NTN;Ø INT 55;Ø EXT 120
6311/2RS/C3 SKF;Ø INT  55;Ø EXT  120
6311/2Z/C3 FAG;Ø INT 55;Ø EXT 120
6311/2Z/C3 SKF;Ø INT 55;Ø EXT 120
6311/C3 FAG;Ø INT 55;Ø EXT 120
6311/C3 SKF;Ø INT 55;Ø EXT 120
6312/2RS/C3 FAG;Ø INT 60;Ø EXT 130
6312/2RS/C3 SKF;Ø INT 60;Ø EXT 130
6312/2Z/C3 FAG;Ø INT 60;Ø EXT 130
6312/2Z/C3 NTN;Ø INT 60;Ø EXT 130
6312/2Z/C3 SKF;Ø INT 60;Ø EXT 130
6312/C3 FAG;Ø INT 60;Ø EXT 130
6312/C3 SKF;Ø INT 60;Ø EXT 130
6313/2RS/C3 FAG;Ø INT 65;Ø EXT 140
6313/2RS/C3 NTN;Ø INT  65;Ø EXT  140
6313/2RS/C3 SKF;Ø INT 65;Ø EXT 140
6313/2Z/C3 FAG;Ø INT 65;Ø EXT 140
6313/2Z/C3 SKF;Ø INT  65;Ø EXT  140
6313/C3 FAG;Ø INT 65;Ø EXT 140
6313/C3 NTN;Ø INT 65;Ø EXT 140
6313/C3 SKF;Ø INT  65;Ø EXT  140
6314/2RS/C3 FAG;Ø INT 70;Ø EXT 150
6314/2RS/C3 NTN;Ø INT 70;Ø EXT 150
6314/2RS/C3 SKF;Ø INT  70;Ø EXT  150
6314/2Z/C3 FAG;Ø INT 70;Ø EXT 150
6314/2Z/C3 NTN;Ø INT 70;Ø EXT 150
6314/2Z/C3 SKF;Ø INT 70;Ø EXT 150
6314/C3 FAG;Ø INT 70;Ø EXT 150
6314/C3 NTN;Ø INT 70;Ø EXT 150
6314/C3 SKF;Ø INT 70;Ø EXT 150
6315/2Z/C3 FAG;Ø INT 75;Ø EXT 160
6315/2Z/C3 SKF;Ø INT 75;Ø EXT 160
6315/C3 FAG;Ø INT 75;Ø EXT 160
6315/C3 SKF;Ø INT 75;Ø EXT 160
6316/2RS/C3 FAG;Ø INT 80;Ø EXT 170
6316/2RS/C3 SKF;Ø INT 80;Ø EXT 170
6316/2Z/C3 FAG;Ø INT 80;Ø EXT 170
6316/2Z/C3 NTN;Ø INT 80;Ø EXT 170
6316/2Z/C3 SKF;Ø INT 80;Ø EXT 170
6316/C3 FAG;Ø INT 80;Ø EXT 170
6316/C3 NTN;Ø INT  80;Ø EXT   170
6316/C3 SKF;Ø INT 80;Ø EXT 170
6316/C3/VL0241 SKF;Ø INT 80;Ø EXT 170
6316/M/C3VL024 SKF;Ø INT 80;Ø EXT 170
6316/M/J20AA/C3 FAG;Ø INT 80;Ø EXT 170
6317/2RS/C3 FAG;Ø INT 85;Ø EXT 180
6317/2RS/C3 SKF;Ø INT 85;Ø EXT 180
6317/2Z/C3 FAG;Ø INT 85;Ø EXT 180
6317/2Z/C3 SKF;Ø INT 85;Ø EXT 180
6317/C3 FAG;Ø INT 85;Ø EXT 180
6317/C3 NTN;Ø INT 85;Ø EXT 180
6317/C3 SKF;Ø INT 85;Ø EXT 180
6318/2RS/C3 FAG;Ø INT 90;Ø EXT 190
6318/2RS/C3 SKF;Ø INT 90;Ø EXT  190
6318/2Z/C3 FAG;Ø INT 90;Ø EXT 190
6318/2Z/C3 NTN;Ø INT 90;Ø EXT 190
6318/2Z/C3 SKF;Ø INT 90;Ø EXT 190
6318/C3 FAG;Ø INT 90;Ø EXT 190
6318/C3 NTN;Ø INT 90;Ø EXT 190
6318/C3 SKF;Ø INT 90;Ø EXT 190
6319/2Z/C3 FAG;Ø INT 95;Ø EXT 200
6319/2Z/C3 SKF;Ø INT 95;Ø EXT 200
6319/C3 FAG;Ø INT 95;Ø EXT 200
6319/C3 SKF;Ø INT 95;Ø EXT 200
6319/C3/VL0241 SKF;Ø INT 95;Ø EXT 200
6320/C3  FAG;Ø INT 100;Ø EXT 215
6320/C3 SKF;Ø INT 100;Ø EXT 215
6324/C3 FAG;Ø INT 120;Ø EXT 260
6324M/C3 FAG;Ø INT 120;Ø EXT 260
6326/C3 NTN;Ø INT 130;Ø EXT 280
N-319/C3 NTN;Ø INT 95;Ø EXT 200
N-319/ECP SKF;Ø INT 95;Ø EXT 200
NU 314 C3  NTN;Ø INT 70;Ø EXT 150
NU-311/ECP/C3 SKF;Ø INT 55;Ø EXT 120
NU-311/ETVP2C3 FAG;Ø INT 55;Ø EXT 120
NU-314/ECJ/C3 SKF;Ø INT 70;Ø EXT 150
NU-314/ECP SKF;Ø INT 70;Ø EXT 150
NU-314/ECP/C3  SKF;Ø INT 70;Ø EXT 150
NU-316/ECP/C3 SKF;Ø INT 80;Ø EXT 170
NU-316/EM1/C3 FAG;Ø INT 80;Ø EXT 170
NU-319/ECJ/C3  SKF;Ø INT 95;Ø EXT 200
NU-319/ECP/C3   SKF;Ø INT 95;Ø EXT 200
NU-319/EM1/C3 FAG;Ø INT 95;Ø EXT 200
NU-319/ETVP2/C3  FAG;Ø INT 95;Ø EXT 200
7222/BECBM  FAG;Ø INT  110; Ø EXT  200
7324 BMPUA   FAG;Ø INT 120;Ø EXT  260
NU-313/ETVP2/C3 FAG;Ø INT 65;Ø EXT  140
NU 222 ECM/C3    SKF;Ø INT  110;Ø EXT  200
NU 320  ECJ /C3 SKF;Ø INT  100;Ø EXT  215
NU-222/ETVP2/C3 FAG;Ø INT  110;Ø EXT  200
NU-321/EM1/C3 FAG;Ø INT 105;Ø EXT  225
NU-322/ECM/C3;Ø INT 110;Ø EXT 240
7222/BECBM  SKF;Ø INT 110;Ø EXT 200
7222/BTVPUA FAG;Ø INT 110;Ø EXT 200
7222BMPUA  FAG;Ø INT 110;Ø EXT 200
NU 2222E.TVP2  FAG;Ø INT 110;Ø EXT 200
NU 309  E TVP2  FAG;Ø INT 45;Ø EXT 100
NU 309 ECP  SKF;Ø INT 45;Ø EXT 100
NU-208/ECP/C3 SKF;Ø INT 40;Ø EXT 80
NU-208ETVP2/C3 FAG;Ø INT 40;Ø EXT 80
NU-209/ECP/C3  SKF;Ø INT 45;Ø EXT 85
NU-209ETVP2/C3 FAG;Ø INT 45;Ø EXT 85
NU-217/ECP/C3 SKF;Ø INT 85;Ø EXT 150
NU-217/EM1/C3 FAG;Ø INT 85;Ø EXT 150
NU-220/ECP/C3 SKF;Ø INT 100;Ø EXT 180
NU-220/EM1/C3 FAG;Ø INT 100;Ø EXT 180
NU-222/ECJ/C3 SKF;Ø INT 110;Ø EXT 200
NU-222/ECP/C3 SKF;Ø INT 110;Ø EXT 200
NU-222/EM1/C3  FAG;Ø INT 110;Ø EXT 200
NU-2222/M1/C3  FAG;Ø INT 110;Ø EXT 200
NU-2226/ECML/C3  FAG;Ø INT 130;Ø EXT 230
NU-2226/EM1/C3 FAG;Ø INT 130;Ø EXT 230
NU-228/ECJ/C3 SKF;Ø INT 140;Ø EXT 250
NU-228/EM1/C3 FAG;Ø INT 140;Ø EXT 250
NU-232/EM1A/C3 FAG;Ø INT 160;Ø EXT 290
NU-234/EM1/C3 FAG;Ø INT 170;Ø EXT 310
NU-238/EM1/C3 FAG;Ø INT 190;Ø EXT 340
NU-308ETVP2;Ø INT 40;Ø EXT 90
NU-309 ECJ SKF;Ø INT 45;Ø EXT 100
NU-309 ECP  SKF;Ø INT 45;Ø EXT 100
NU-310/ETVP/C3 SKF;Ø INT 50;Ø EXT 110
NU-310/ETVP2/C3 FAG;Ø INT 50;Ø EXT 110
NU-313/ECP SKF;Ø INT 65;Ø EXT 140
NU-313/ECP/C3;Ø INT 65;Ø EXT 140
NU-313/ECP/C3 SKF;Ø INT 65;Ø EXT 140
NU-314/ECM/C3 SKF;Ø INT 70;Ø EXT 150
NU-314/ETVP2/C3 FAG;Ø INT 70;Ø EXT 150
NU-322 ECM/C3  FAG;Ø INT 110;Ø EXT 240
NU-322/ECJ/C3 SKF;Ø INT 110;Ø EXT 240
NU-326/EM1/C3 FAG;Ø INT 130;Ø EXT 280
NU-326/ETVP2/C3 FAG;Ø INT 130;Ø EXT 280
NU-328/EM1/C3 FAG;Ø INT 140;Ø EXT 300
NU-338/EM1/C3 FAG;Ø INT 190;Ø EXT 400
NU 2226 EM/C3  FAG;Ø INT 130;Ø EXT 230
NU-326/ECM/C3 SKF;Ø INT 130;Ø EXT 280
NU-330/EM1/C3 FAG;Ø INT 150;Ø EXT 320
